,Track Name,Artist Name,Album,Album Release Date,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time Signature,Artist Popularity,Track Popularity,Track URI,Artist URI
1428,Five More Hours,Deorro,Five More Hours,2015-03-03,"dutch house, edm, electro house, melbourne bounce, melbourne bounce international, pop dance, progressive electro house",0.699,0.883,5,-3.226,0,0.219,0.0288,0.0,0.817,0.499,127.961,211975,4,66,66,spotify:track:6YwLgicpvVuMt1eE2OldwQ,spotify:artist:6VD4UEUPvtsemqD3mmTqCR
1429,Headlights (feat. Ilsey),Robin Schulz,Headlights (feat. Ilsey),2015-04-03,"deep euro house, deep house, edm, german dance, pop dance, tropical house",0.597,0.685,11,-6.371,1,0.0367,0.0245,0.000335,0.182,0.369,122.002,209208,4,77,55,spotify:track:06Hdbxh6NCy6TIhjdXTchB,spotify:artist:3t5xRXzsuZmMDkQzgOX35S
1430,Mimmit fiilaa,Mikael Gabriel,Versus,2015-05-15,"finnish dance pop, finnish hip hop, finnish pop",0.779,0.688,7,-7.341,1,0.0362,0.0286,0.0,0.365,0.688,125.019,201133,4,51,30,spotify:track:059ZdcYEsV1MkiQGdKfNdV,spotify:artist:79Pc4RR5E625J7dK543jDw
1431,Virheistä kaunein,TCT,Virheistä kaunein,2015-04-06,"finnish dance pop, finnish hip hop",0.739,0.68,4,-5.27,0,0.074,0.192,0.0,0.139,0.485,124.004,214967,4,25,0,spotify:track:33xHJSf8Dg0Ja2uTYvzuHW,spotify:artist:7AfDbA1rEHwRhzPH6jHSUE
1432,Ur Cool,SAARA,Ur Cool,2015-04-21,,0.627,0.742,0,-4.425,1,0.132,0.0251,0.0,0.0808,0.78,147.13,179999,4,23,0,spotify:track:5yRAGUGUwc5MzNgzNk3SHE,spotify:artist:6uD7fMzRa46LcvRCACEd2G
1433,Bandana,ABREU,Bandana,2015-06-05,"finnish dance pop, finnish hip hop, finnish pop",0.74,0.762,11,-5.16,1,0.0756,0.251,6.99e-05,0.108,0.716,100.03,161853,4,45,28,spotify:track:2j4eQumOh0qlUIAPbMKJuu,spotify:artist:5kOwMqoAYEX24YgxEZP6K7
1434,Ain't Nobody (Loves Me Better),Felix Jaehn,Ain't Nobody (Loves Me Better),2015-03-03,"edm, german dance, pop dance, tropical house",0.768,0.567,2,-7.046,0,0.0312,0.66,0.000277,0.07,0.471,117.974,186147,4,74,0,spotify:track:5afHIkEcVhCF1Z1CTqMUXB,spotify:artist:4bL2B6hmLlMWnUEZnorEtG
1435,Dime - Radio Edit,Jack Perry,Dime (Radio Edit),2015-05-29,,0.741,0.884,5,-3.745,0,0.0341,0.0509,0.0575,0.117,0.811,130.038,206000,4,18,25,spotify:track:38uWGrkQvedpatybHIOaE4,spotify:artist:1rfLW9kia7wkXY4RwLc0MD
1436,Heroes,Måns Zelmerlöw,Perfectly Damaged,2015-06-03,"swedish idol pop, swedish pop",0.484,0.791,7,-4.27,1,0.0437,0.0743,0.0,0.0491,0.369,124.008,190613,4,47,51,spotify:track:21BYhl07wWqGRQaj7sUxdV,spotify:artist:1IxP1g9VrPzJqXFCsuyHKe
1437,Parade,Tungevaag,Parade,2015-06-05,"big room, nordic house",0.603,0.953,9,-3.663,0,0.261,0.0159,0.00678,0.261,0.385,191.84,195010,3,63,37,spotify:track:5jT2yNeyOiALkJS9XCaXQR,spotify:artist:49CE2ffZ6Z3zeYSDauSKck
1438,"Habibi Love (I Need Your Love) (feat. Mohombi, Faydee & Costi)",Shaggy,"Habibi Love (I Need Your Love) (feat. Mohombi, Faydee & Costi)",2015-03-11,"dance pop, pop rap, reggae fusion",0.44,0.802,5,-3.838,1,0.244,0.123,0.0,0.1,0.586,179.868,217446,4,72,52,spotify:track:2CzNAvr2nZKYxthPVMvdVe,spotify:artist:5EvFsr3kj42KNv97ZEnqij
1439,Kuka Pelkää Pimeet,Musta Barbaari,Kuka Pelkää Pimeet,2015-04-16,finnish hip hop,0.878,0.796,0,-4.461,1,0.29,0.309,0.0,0.145,0.78,104.05,230760,4,28,30,spotify:track:39pdE1E1rYOBhKzTjlOChn,spotify:artist:0MjMlJw6pfcaeDeVbhQgLC
1440,Hold Back The River,James Bay,Chaos And The Calm,2015-03-20,"neo mellow, pop, uk pop",0.715,0.715,5,-7.364,1,0.0902,0.0526,0.0,0.0936,0.507,134.922,238747,4,70,71,spotify:track:1KZyVnyptQcPzkx7ELCnZC,spotify:artist:4EzkuveR9pLvDVFNx6foYD
1441,UFO - Radio Edit,Vigiland,UFO,2014-01-01,"deep pop edm, electronic trap",0.837,0.804,5,-7.001,1,0.11,0.109,0.727,0.193,0.16,128.07,144390,4,54,0,spotify:track:3zYqHQ4tu4pB2acp9Lltnz,spotify:artist:3tLYpanVDomWAZqF82NPds
1442,Aurinkokuningatar,Valovuosi,Aurinkokuningatar,2015-04-17,finnish dance pop,0.801,0.747,5,-5.473,1,0.133,0.226,0.0,0.0622,0.706,104.97,186480,4,18,31,spotify:track:36gv9dPeE9h1Wb4pI6EQ1K,spotify:artist:36J21Stny1TZ5XyJkL7E5I
1443,Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,Reality (feat. Janieck Devy),2015-07-10,"belgian edm, edm, pop dance, tropical house",0.731,0.639,9,-6.597,1,0.0359,0.0206,1.29e-05,0.0789,0.527,122.08,158474,4,77,44,spotify:track:5kZRoc6Gz7u5eu4a0YM2LS,spotify:artist:7f5Zgnp2spUuuzKplmRkt7
1444,Downtown,Donkeyboy,Downtown,2015-06-12,norwegian pop,0.65,0.78,10,-3.407,0,0.0681,0.189,0.000308,0.0356,0.434,170.033,213418,4,42,30,spotify:track:0fSqfha2VoIzg1n24nBcHf,spotify:artist:0UACE2nWl5uUyJRo1kIYQO
1445,Powerful (feat. Ellie Goulding & Tarrus Riley),Major Lazer,Peace Is The Mission,2015-05-29,"dance pop, edm, electro house, moombahton, pop, pop dance",0.598,0.792,11,-4.043,0,0.0478,0.121,0.0,0.158,0.732,97.479,206327,3,77,0,spotify:track:4oyWrvyORD6uCSYCLSRF6W,spotify:artist:738wLrAtLtCtFOLvQBXOXp
1446,Lipstick (feat. Tyga),Isac Elliot,Lipstick (feat. Tyga),2015-08-14,"finnish dance pop, finnish hip hop, finnish pop",0.724,0.803,7,-4.328,0,0.088,0.117,0.0,0.153,0.646,114.953,241501,4,55,22,spotify:track:5wLM2qVo3oNXUPutXcKJHM,spotify:artist:3aD9K1zaLQ3G7yp9XV5E4D
1447,Ihana,Chisu,Ihana,2015-08-07,"finnish pop, suomi rock",0.687,0.59,5,-8.849,1,0.0319,0.00208,0.0367,0.0637,0.595,109.995,252520,4,42,13,spotify:track:0gHF63QomYjuUWedAdDWeu,spotify:artist:0Wo2rgrMZVYn0u0uxlDPJP
1448,That's How You Know (feat. Kid Ink & Bebe Rexha),Nico & Vinz,That's How You Know (feat. Kid Ink & Bebe Rexha),2015-07-17,afrobeats,0.769,0.437,1,-6.406,1,0.0363,0.44,0.0,0.116,0.737,103.921,186443,4,62,54,spotify:track:3icbmPGKTsKAa0IinkizCM,spotify:artist:0awl5piYwO0CDTHEkCjUhn
1449,Kaikki mitä näät,Aurora,Kaikki mitä näät,2015-08-21,"finnish dance pop, finnish pop, finnish reggae",0.413,0.538,11,-8.619,1,0.31,0.308,0.0,0.193,0.555,73.225,211227,4,35,21,spotify:track:30Gl1fViCSmppqIKLEFqZu,spotify:artist:6B7tHfJGL5rnIxNQLN8Hp0
1450,Can't Feel My Face,The Weeknd,Beauty Behind The Madness,2015-08-28,"canadian contemporary r&b, canadian pop, pop",0.702,0.77,9,-5.416,0,0.0482,0.124,0.0,0.103,0.593,107.951,213520,4,95,0,spotify:track:6RsWqX8zABZLhZydXxEFOm,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
1451,Fight Song,Rachel Platten,Fight Song - EP,2015-05-12,"post-teen pop, viral pop",0.639,0.707,7,-5.062,1,0.0739,0.0881,0.0,0.176,0.352,87.944,204067,4,62,33,spotify:track:6bRbeEgg8v8BQ0HuVuPE7v,spotify:artist:3QLIkT4rD2FMusaqmkepbq
1452,Yö kuuluu meille,Robin Packalen,Yö kuuluu meille,2015-09-04,"finnish dance pop, finnish pop",0.686,0.86,0,-5.184,1,0.0783,0.0035,0.0,0.333,0.58,100.022,225343,4,50,0,spotify:track:3I0VFE2uKmcltzLf4YjcXi,spotify:artist:4Q4b4S784htx6DtxcMUfMO
1453,Here for You (feat. Ella Henderson),Kygo,Here for You (feat. Ella Henderson),2015-09-04,"edm, pop, pop dance, tropical house",0.68,0.772,10,-5.995,1,0.0416,0.535,0.0153,0.147,0.376,105.005,244510,4,80,59,spotify:track:7vqUr6K2Js9Paq4kdNSOm6,spotify:artist:23fqKkggKUBHNkbKtXEls4
1454,El Perdón (with Enrique Iglesias),Nicky Jam,El Perdón (with Enrique Iglesias),2015-04-08,"latin hip hop, reggaeton, trap latino, urbano latino",0.622,0.701,8,-5.452,1,0.0559,0.423,0.0,0.0955,0.645,179.998,207013,4,80,0,spotify:track:4Ld3RS6KBXGsvtfmnjxlVl,spotify:artist:1SupJlEpv7RS2tPNRaHViT
1455,Hula Hoop,OMI,Hula Hoop,2015-08-28,reggae fusion,0.673,0.847,10,-4.505,0,0.0386,0.0253,0.0,0.302,0.519,121.988,206344,4,64,42,spotify:track:4vEUY73dVOg97Ajbqq9zgV,spotify:artist:5MouCg6ta7zAxsfMEbc1uh
1456,Pilkun jälkeen,Roope Salminen & Koirat,Pilkun jälkeen,2015-09-25,"finnish dance pop, finnish hip hop, finnish pop, iskelma, suomi rock",0.754,0.809,7,-3.988,1,0.0404,0.0485,0.0,0.297,0.791,119.967,209055,4,38,18,spotify:track:3St8EnSlx1GhzhfTtSx4Ni,spotify:artist:3OElmmR1D18e4dPTISAF5r
1457,Easy Love,Sigala,Easy Love,2015-08-21,"dance pop, edm, pop dance, uk dance",0.694,0.955,9,-2.872,1,0.0676,0.256,0.000874,0.138,0.713,123.982,227709,4,68,35,spotify:track:5MMp4HNtX6T2xT9w6Xmaxn,spotify:artist:1IueXOQyABrMOprrzwQJWN
1458,Sillat (feat. Ilta),Cheek,Alpha Omega,2015-10-16,"finnish dance pop, finnish hip hop, finnish pop",0.599,0.856,5,-4.179,1,0.224,0.271,0.0,0.127,0.47,156.028,246093,4,54,45,spotify:track:1y79Q5QoYX1POEfBqAwJB5,spotify:artist:5ZZqIQ25HQmufjjf2trwFO
1459,7 Years,Lukas Graham,7 Years,2015-09-18,"danish pop, scandipop",0.726,0.498,10,-5.788,1,0.0621,0.322,0.0,0.386,0.34,119.825,237300,4,70,0,spotify:track:7MY77zbtJr7KOSrOza4S3L,spotify:artist:25u4wHJWxCA9vO0CzxAbK7
1460,Miten eskimot suutelee?,Robin Packalen,Yhdessä,2015-10-09,"finnish dance pop, finnish pop",0.618,0.746,9,-5.814,0,0.0825,0.0195,0.0,0.314,0.53,139.842,218613,4,50,30,spotify:track:3q5BOBwYzVT0Fq0cUamoV1,spotify:artist:4Q4b4S784htx6DtxcMUfMO
1461,Lähtisitkö (feat. SANNI) (Vain elämää kausi 4),VilleGalle,Lähtisitkö (Vain elämää kausi 4) [feat. SANNI],2015-10-30,"finnish dance pop, finnish hip hop, finnish pop",0.75,0.736,5,-5.669,1,0.121,0.187,6.39e-06,0.102,0.393,90.978,189373,4,41,37,spotify:track:2dRsorUvpCgLF2zu9q96pH,spotify:artist:6VVSjZwPAHNbkKeMhTI2bb
1462,Puistossa (feat. Alexandra Babitzin ja Jare) (Vain elämää kausi 4),VilleGalle,Vain elämää - kausi 4 päivä,2015-10-30,"finnish dance pop, finnish hip hop, finnish pop",0.707,0.757,0,-5.804,1,0.0598,0.0657,1.18e-06,0.0781,0.631,81.989,188520,4,41,23,spotify:track:0DfgxTKDM7X94ERM13HiiP,spotify:artist:6VVSjZwPAHNbkKeMhTI2bb
1463,Carrie,Ellinoora,Carrie,2015-10-02,"finnish dance pop, finnish pop, iskelma",0.569,0.437,9,-6.891,0,0.0701,0.154,0.0,0.111,0.335,187.889,191707,4,50,22,spotify:track:7mP0ZazfXgc8BC55uXWiq4,spotify:artist:3c9CUpHeB5BCQOHp8uiPzY
1464,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,Peace Is the Mission (Extended Edition),2015-11-27,"dance pop, edm, electro house, moombahton, pop, pop dance",0.746,0.877,9,-3.782,0,0.0666,0.0375,0.000833,0.233,0.751,107.985,166138,4,77,54,spotify:track:6lDo13SSgTv0WbyUQKgnjk,spotify:artist:738wLrAtLtCtFOLvQBXOXp
1465,Stay (feat. Maty Noyes),Kygo,Stay (feat. Maty Noyes),2015-12-04,"edm, pop, pop dance, tropical house",0.648,0.736,8,-7.948,1,0.0385,0.0444,0.000137,0.171,0.378,103.027,239465,4,80,57,spotify:track:7gBj0VgcuAgkXkiRRYvSmK,spotify:artist:23fqKkggKUBHNkbKtXEls4
1466,Bang My Head (feat. Sia & Fetty Wap),David Guetta,Listen Again,2015-11-27,"big room, dance pop, edm, pop, pop dance",0.599,0.869,0,-3.697,1,0.0789,0.0525,0.00719,0.103,0.593,108.061,193333,4,88,59,spotify:track:53Y0kdCa1CZ9gRqEuknfwy,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
1467,Party (Papiidipaadi) (feat. Nikke Ankara),Antti Tuisku,Party (papiidipaadi) [feat. Nikke Ankara],2015-12-15,"finnish dance pop, finnish pop",0.725,0.784,5,-4.674,0,0.123,0.0143,5.97e-06,0.297,0.69,139.986,220000,4,45,26,spotify:track:1CFk1Z0WqOEkbo8SBiZycf,spotify:artist:54CMkgIraCOO9pSRfPKiKt
1468,DADDY ft. CL of 2NE1,PSY,PSY 7TH ALBUM,2015-12-01,"k-rap, korean old school hip hop",0.762,0.87,6,-3.287,0,0.128,0.0788,0.0,0.137,0.753,132.049,230635,4,63,0,spotify:track:4oHmgneU9dwYoqg0SJSOCf,spotify:artist:2dd5mrQZvg6SmahdgVKDzh
1469,Adventure of a Lifetime,Coldplay,A Head Full of Dreams,2015-12-04,"permanent wave, pop",0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,263787,4,88,80,spotify:track:69uxyAqqPIsUyTO8txoP2M,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU
1470,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,1994-10-28,"dance pop, pop, urban contemporary",0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,241107,4,77,71,spotify:track:0bYg9bo50gSsH3LtXe2SQn,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ
1471,King,Olly Alexander (Years & Years),King,2015-01-11,"dance pop, gauze pop, pop, pop dance, uk pop",0.563,0.864,4,-4.066,0,0.0386,0.0585,0.0,0.419,0.439,119.964,213424,4,68,0,spotify:track:6pIZ0u32c2Lku8PmCWtnMy,spotify:artist:5vBSrE1xujD2FXYRarbAXc
1472,Shots,Imagine Dragons,Shots,2015-01-27,"modern rock, pop, rock",0.565,0.768,2,-6.803,1,0.0365,0.00723,0.00458,0.309,0.381,104.949,232347,4,87,0,spotify:track:4ivxQTDPvf8nrUh8H2pfnr,spotify:artist:53XhwfbYqKCa1cC15pYq2q
1473,Heroes,Måns Zelmerlöw,Heroes,2015-02-28,"swedish idol pop, swedish pop",0.484,0.791,7,-4.27,1,0.0437,0.0743,0.0,0.0491,0.369,124.008,190613,4,47,56,spotify:track:4ciaNqHWA2IzHphZaVRzHI,spotify:artist:1IxP1g9VrPzJqXFCsuyHKe
1474,Mikä kesä?,Valvomo,Mikä kesä? / Single,2006-01-01,,0.844,0.79,10,-6.427,1,0.0337,0.121,0.0,0.255,0.974,120.078,213867,4,25,37,spotify:track:5YPAzeuFqsK3w0MMZotPKl,spotify:artist:5eWfQt4rQ4AevfJpmZ8tcG
1475,One Dance,Drake,Views,2016-05-06,"canadian hip hop, canadian pop, hip hop, pop rap, rap",0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,173987,4,96,24,spotify:track:1xznGGDReH1oQq0xzbwXa3,spotify:artist:3TVXtAsR1Inumwj472S9r4
1476,Sex,Cheat Codes,Sex,2016-03-07,"edm, pop, pop dance",0.51,0.692,0,-5.825,1,0.171,0.00451,0.0,0.138,0.209,102.42,228361,4,66,0,spotify:track:5ZEM9j0jrFr5RdHEbl2MYV,spotify:artist:7DMveApC7UnC2NPfPvlHSU
1477,Another Lonely Night,Adam Lambert,The Original High (Deluxe Version),2015-06-11,"dance pop, idol, pop, post-teen pop",0.447,0.67,11,-6.106,1,0.0712,0.0643,0.0,0.0687,0.117,181.387,225800,3,60,40,spotify:track:7kOJsVkJXvLQPQ9osGWeKd,spotify:artist:6prmLEyn4LfHlD9NnXWlf7
1478,Trespassing - Radio Edit,Adam Lambert,"""Trespassing"" EP",2012-10-16,"dance pop, idol, pop, post-teen pop",0.876,0.619,2,-5.213,1,0.0504,0.000537,5.58e-06,0.127,0.827,120.005,180413,4,60,19,spotify:track:5SeSq2EFPOavAjbir0ai6P,spotify:artist:6prmLEyn4LfHlD9NnXWlf7
1479,Elevated,Larry Ohh,Happy Camper,2016-05-09,,0.48,0.727,8,-5.955,1,0.256,0.133,0.0,0.146,0.459,188.21,226649,4,21,0,spotify:track:4rveAh0QHR0N2Z0iTeWHlB,spotify:artist:5ao2hQ6Ho1SiaMvBZiLwPR
1480,Turn Me Up Some (feat Redman & Jay Psar) - Dirty,Jay Psar,Turn Me Up Some (feat Redman & Jay Psar),2015-07-27,,0.567,0.777,11,-5.146,1,0.0389,2.6e-05,0.315,0.339,0.144,100.037,218400,4,16,15,spotify:track:4eMSRO6zGM4SDSqSWTnMqs,spotify:artist:2FXSYpIIZhJ260UvGZN8wr
1481,Cloud Up,DJ KIMERA,DJ KIMERA,2016-05-25,,0.559,0.407,11,-20.87,0,0.0571,0.0299,0.791,0.0917,0.352,128.408,240741,4,21,0,spotify:track:6bxi9M79xIYbmrRtZAqghX,spotify:artist:0bZ9QBZME5UoX7PGgM6Ahi
1482,Mä En Kestä,Laura Voutilainen,Mä En Kestä,2017-03-10,"classic iskelma, finnish pop, iskelma, suomi rock",0.814,0.867,11,-5.456,0,0.0681,0.0197,0.0,0.0867,0.907,129.066,176187,4,35,0,spotify:track:28bSOChAMwPQE9dxBmhAGA,spotify:artist:1vDg9KYrfgHzDJQGP2VQfe
1483,Make Me (Cry),Noah Cyrus,Make Me (Cry),2016-11-15,"alt z, pop",0.588,0.471,0,-7.287,1,0.0577,0.592,0.00146,0.0733,0.209,152.881,242081,4,73,64,spotify:track:2BrzlUj1u1CtvaJDGIKpsP,spotify:artist:55fhWPvDiMpLnE4ZzNXZyW
1484,OMG,USHER,Raymond v Raymond,2010-03-30,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,269493,4,83,0,spotify:track:3r04p85xiJh9Wqk59YDYdc,spotify:artist:23zg3TcAtWQy7J6upgbUnj
1485,Nothin' on You (feat. Bruno Mars),B.o.B,B.o.B Presents: The Adventures of Bobby Ray,2010-04-27,"atl hip hop, dance pop, pop rap, rap, southern hip hop",0.688,0.853,10,-5.814,1,0.0493,0.386,0.0,0.0862,0.743,103.993,268320,4,72,57,spotify:track:5AkZntfhC6IBpNtWyWTWhk,spotify:artist:5ndkK3dpZLKtBklKjxNQwT
1486,I Like It,Enrique Iglesias,I Like It,2010-05-04,"dance pop, latin pop, mexican pop",0.657,0.938,10,-2.757,0,0.0937,0.0189,0.0,0.0805,0.733,128.984,231787,4,78,0,spotify:track:3L7JLAG7WqA5CjAZuaVQvj,spotify:artist:7qG3b048QCHVRO5Pv1T5lw
1487,Empire State Of Mind,JAY-Z,The Hits Collection Volume One,2010-11-22,"east coast hip hop, gangster rap, hip hop, pop rap, rap",0.503,0.955,11,-1.533,1,0.381,0.0265,0.0,0.265,0.818,173.521,277107,4,84,33,spotify:track:6u8txb92XRmzfURmKEdZcr,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB
1488,Like A G6,Far East Movement,Like a G6,2010-01-01,"asian american hip hop, dance pop, pop rap",0.629,0.869,7,-7.012,0,0.314,0.00657,0.0,0.191,0.715,125.024,218347,4,65,45,spotify:track:5IaL2LtensPE1x8K4NGaNl,spotify:artist:698hF4vcwHwPy8ltmXermq
1489,Club Can't Handle Me (feat. David Guetta) - From the Step Up 3D Soundtrack,Flo Rida,Club Can't Handle Me,2010-06-28,"dance pop, miami hip hop, pop, pop rap",0.623,0.882,0,-2.574,1,0.0322,0.0205,0.0,0.194,0.525,127.98,232616,4,80,57,spotify:track:0xcl9XT60Siji6CSG4y6nb,spotify:artist:0jnsk9HBra6NMjO2oANoPY
1490,3,Britney Spears,3,2009-10-02,"dance pop, pop",0.704,0.717,5,-1.919,0,0.0453,0.0527,0.0,0.227,0.772,134.991,213173,4,81,0,spotify:track:7eusnHDVdvqjUGAigj77XC,spotify:artist:26dSoYclwsYLMAKD3tpOr4
1491,Hotel Room Service,Pitbull,Hotel Room Service,2009-06-11,"dance pop, miami hip hop, pop",0.849,0.599,6,-8.164,1,0.227,0.00301,0.000249,0.0763,0.761,126.003,238507,4,84,62,spotify:track:32yIEFS62uS5ryhr2Xlooj,spotify:artist:0TnOYISbd1XYRBk9myaseg
1492,Terkkui Exille,Ollie,Terkkui Exille,2017-02-14,"finnish dance pop, finnish hip hop, finnish pop, iskelma",0.706,0.77,4,-4.887,1,0.0346,0.103,0.0,0.207,0.798,92.05,201712,4,38,18,spotify:track:4pBK57ziLFqaN1sevhmIQZ,spotify:artist:4e9ntSageEujJboJQBXtCd
1493,Todella kaunis,Zen Cafe,Jättiläinen,2003-09-22,"finnish alternative rock, suomi rock",0.564,0.657,4,-5.859,1,0.0239,0.0947,0.0,0.175,0.405,94.093,203787,4,39,30,spotify:track:2f83TGTfPhzaUtxbJtSIqn,spotify:artist:13l03qv7mpBV432l5t8fpq
1494,Grenade,Bruno Mars,The Grenade Sessions,2011-02-08,"dance pop, pop",0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444,222091,4,89,55,spotify:track:1WWR7F24UbFi06sfvcnvD8,spotify:artist:0du5cEVh5yTK9QJze8zA0C
1495,Asking for a Friend - Stripped,Annabel Jones,Asking For A Friend (Stripped),2016-12-16,metropopolis,0.44,0.2,10,-10.049,0,0.0338,0.885,0.0,0.119,0.127,110.975,196615,5,19,18,spotify:track:08Ovh180covBWO0CTnJhqz,spotify:artist:5koilOAvfuLq4O2yc9UWft
1496,Yksinäisen keijun tarina,Chisu,TOP 10,2016-05-13,"finnish pop, suomi rock",0.68,0.142,11,-16.333,0,0.0362,0.958,7.4e-06,0.122,0.653,94.786,184707,4,42,0,spotify:track:2Fmnwa31mlSYua3M6lfXyw,spotify:artist:0Wo2rgrMZVYn0u0uxlDPJP
1497,Listen to Your Heart (Remix),Fernando,Bottled up Emotions,2016-05-24,,0.723,0.624,11,-9.319,0,0.301,0.498,0.0,0.148,0.616,157.965,292637,4,19,26,spotify:track:0AkbkEGWAp2oa946gLDIdd,spotify:artist:6TORpABa05Re3EEkLctazv
1498,Every Breath You Take (Re:Imagined),Denmark + Winter,Every Breath You Take (Re:Imagined),2014-07-11,,0.586,0.492,0,-8.114,0,0.0252,0.337,4.47e-05,0.112,0.0897,108.006,222222,4,30,38,spotify:track:1sz0fuWEAcPkCfG5o7D9KP,spotify:artist:3iieFb3WOWJ8tW57Gixt8y
1499,Begin Again,Measure,Begin Again,2008-04-28,,0.664,0.501,0,-9.589,1,0.0292,0.196,0.243,0.0955,0.165,150.039,259827,4,17,34,spotify:track:1szZ3bIPsIN4ok9DIrNqmJ,spotify:artist:1BlsTq0OiGyMVQpQhYLsqH
1500,Jos Mä Oisin Sun Mies - feat. Elastinen,Jontte Valosaari,Jos Mä Oisin Sun Mies (feat. Elastinen),2012,"finnish dance pop, finnish hip hop, finnish pop",0.705,0.934,0,-4.347,1,0.0958,0.0975,0.0,0.0815,0.554,140.036,196306,4,27,20,spotify:track:5R49oIawez10oRPJTBpOVB,spotify:artist:28kGqx4hUF07ChEMz26up7
1501,50 Ways to Say Goodbye,Train,California 37,2012-04-17,"dance pop, neo mellow, pop, pop rock",0.591,0.935,6,-2.664,1,0.0478,0.000284,0.000278,0.142,0.736,140.043,247947,4,74,0,spotify:track:0bQXIksOCU5MUqcddOan3K,spotify:artist:3FUY2gzHeIiaesXtOAdB7A
1502,Tuhlari,Laura Närhi,Tuhlari,2012-07-06,"finnish pop, iskelma, suomi rock",0.522,0.67,0,-9.108,1,0.0475,0.0115,0.226,0.11,0.224,130.543,281587,4,34,10,spotify:track:0m534fJpZ3GwdcFPgyVBB2,spotify:artist:7KHWXv1XVqqXuIZ8Ui5TDJ
1503,Party Shaker (feat. Nicco) - Video Edit,R.I.O.,Party Shaker (feat. Nicco),2012-07-27,german dance,0.673,0.912,7,-4.248,1,0.0334,0.00939,2.87e-06,0.0525,0.968,128.015,207853,4,58,0,spotify:track:2Ahc1A0I2m8dpXEDv2zySw,spotify:artist:0Ol3Jol2T3lZZVLNNzWPhj
1504,Turn Up The Love,Far East Movement,Dirty Bass (Spotify International Version),2012-01-01,"asian american hip hop, dance pop, pop rap",0.752,0.872,6,-4.186,1,0.117,0.12,0.0,0.234,0.677,123.888,195960,4,65,52,spotify:track:4HQ9gXAtONKs8NCM0MFUTu,spotify:artist:698hF4vcwHwPy8ltmXermq
1505,This Is Love,will.i.am,This Is Love,2012-01-01,"dance pop, pop",0.523,0.804,0,-3.609,0,0.0471,0.00421,0.0,0.242,0.313,129.035,280947,4,73,0,spotify:track:6zX1edWck5DxIBWQMOUXO5,spotify:artist:085pc2PYOi8bGKj0PNjekA
1506,Your Body,Christina Aguilera,Your Body,2012-09-17,"dance pop, pop",0.593,0.781,8,-5.292,0,0.0547,0.000739,0.0,0.224,0.575,103.024,240000,4,78,0,spotify:track:2wlsVxwdh8fd6T6KItRORA,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS
1507,Beam Me Up (Kill Mode) (Radio Edit),CAZZETTE,Eject pt. I,2012-11-11,"complextro, edm, electro house, pop dance, progressive electro house",0.568,0.878,0,-3.156,1,0.0447,0.00838,3.3e-06,0.0896,0.28,125.967,203810,4,44,0,spotify:track:3tBHQJmuE0BOKR7l4Anap5,spotify:artist:1IELhvOMg5VQlU7syRm6CS
1508,Seuraavaan elämään,Jannika B,Seuraavaan elämään,2012-10-29,"finnish dance pop, finnish pop, iskelma, suomi rock",0.514,0.691,7,-6.601,0,0.0433,0.0164,0.000464,0.112,0.501,89.923,209520,4,40,13,spotify:track:6gWJDpIJplIY5aqWoD0W1m,spotify:artist:5ffRhIFF1wJD3JJLDXt4hY
1509,Years - ラジオ・エディット,Alesso,Years,2012-01-01,"dance pop, edm, pop, pop dance, progressive electro house",0.37,0.823,2,-6.245,1,0.0805,0.00234,1.91e-06,0.174,0.323,128.008,195480,4,73,0,spotify:track:2YBnNbMOUUSkqncnQgkqST,spotify:artist:4AVFqumd2ogHFlRbKIjp1t
1510,New Way Home,Isac Elliot,New Way Home,2013-02-14,"finnish dance pop, finnish hip hop, finnish pop",0.56,0.716,1,-8.354,0,0.0721,0.00362,0.0,0.105,0.531,126.032,220373,4,55,5,spotify:track:21s9z2X9Mvf2Vfi5X6RCkf,spotify:artist:3aD9K1zaLQ3G7yp9XV5E4D
